level,client_id,status_code,latency_ms
1000,load-test-client-1000-151,200,141.15
1000,load-test-client-1000-32,200,157.36
1000,load-test-client-1000-131,200,148.34
1000,load-test-client-1000-601,200,140.91
1000,load-test-client-1000-597,200,140.91
1000,load-test-client-1000-153,200,141.42
1000,load-test-client-1000-476,200,140.48
1000,load-test-client-1000-279,200,141.42
1000,load-test-client-1000-154,200,143.09
1000,load-test-client-1000-134,200,143.09
1000,load-test-client-1000-189,200,154.74
1000,load-test-client-1000-598,200,143.72
1000,load-test-client-1000-338,200,139.71
1000,load-test-client-1000-609,200,143.29
1000,load-test-client-1000-256,200,143.72
1000,load-test-client-1000-116,200,167.74
1000,load-test-client-1000-130,200,164.99
1000,load-test-client-1000-170,200,169.20
1000,load-test-client-1000-602,200,157.56
1000,load-test-client-1000-257,200,157.56
1000,load-test-client-1000-152,200,157.56
1000,load-test-client-1000-150,200,158.67
1000,load-test-client-1000-259,200,158.07
1000,load-test-client-1000-475,200,224.32
1000,load-test-client-1000-248,200,247.87
1000,load-test-client-1000-246,200,267.62
1000,load-test-client-1000-567,200,278.86
1000,load-test-client-1000-473,200,282.07
1000,load-test-client-1000-29,200,327.77
1000,load-test-client-1000-401,200,305.60
1000,load-test-client-1000-427,200,305.60
1000,load-test-client-1000-593,200,313.61
1000,load-test-client-1000-683,200,318.46
1000,load-test-client-1000-682,200,323.19
1000,load-test-client-1000-871,200,323.19
1000,load-test-client-1000-776,200,323.19
1000,load-test-client-1000-399,200,324.05
1000,load-test-client-1000-487,200,327.67
1000,load-test-client-1000-395,200,334.16
1000,load-test-client-1000-253,200,340.94
1000,load-test-client-1000-568,200,344.97
1000,load-test-client-1000-621,200,348.22
1000,load-test-client-1000-396,200,351.41
1000,load-test-client-1000-250,200,352.25
1000,load-test-client-1000-365,200,365.52
1000,load-test-client-1000-855,200,364.94
1000,load-test-client-1000-879,200,365.51
1000,load-test-client-1000-520,200,366.09
1000,load-test-client-1000-726,200,366.05
1000,load-test-client-1000-777,200,366.62
1000,load-test-client-1000-442,200,366.05
1000,load-test-client-1000-878,200,366.62
1000,load-test-client-1000-325,200,367.13
1000,load-test-client-1000-367,200,368.00
1000,load-test-client-1000-873,200,366.62
1000,load-test-client-1000-400,200,368.00
1000,load-test-client-1000-684,200,369.83
1000,load-test-client-1000-471,200,373.36
1000,load-test-client-1000-847,200,370.67
1000,load-test-client-1000-522,200,372.28
1000,load-test-client-1000-708,200,372.28
1000,load-test-client-1000-612,200,372.28
1000,load-test-client-1000-707,200,376.16
1000,load-test-client-1000-444,200,376.16
1000,load-test-client-1000-251,200,383.71
1000,load-test-client-1000-300,200,384.85
1000,load-test-client-1000-615,200,397.47
1000,load-test-client-1000-521,200,399.89
1000,load-test-client-1000-414,200,399.34
1000,load-test-client-1000-829,200,399.34
1000,load-test-client-1000-689,200,400.07
1000,load-test-client-1000-465,200,397.92
1000,load-test-client-1000-523,200,400.07
1000,load-test-client-1000-809,200,403.86
1000,load-test-client-1000-334,200,402.45
1000,load-test-client-1000-445,200,405.66
1000,load-test-client-1000-413,200,404.60
1000,load-test-client-1000-688,200,405.15
1000,load-test-client-1000-691,200,404.14
1000,load-test-client-1000-332,200,406.80
1000,load-test-client-1000-585,200,370.30
1000,load-test-client-1000-787,200,407.78
1000,load-test-client-1000-828,200,404.66
1000,load-test-client-1000-478,200,408.99
1000,load-test-client-1000-730,200,404.66
1000,load-test-client-1000-495,200,405.75
1000,load-test-client-1000-810,200,405.80
1000,load-test-client-1000-811,200,412.85
1000,load-test-client-1000-472,200,420.77
1000,load-test-client-1000-203,200,427.89
1000,load-test-client-1000-792,200,428.65
1000,load-test-client-1000-713,200,429.82
1000,load-test-client-1000-732,200,429.82
1000,load-test-client-1000-754,200,429.82
1000,load-test-client-1000-796,200,429.82
1000,load-test-client-1000-864,200,430.33
1000,load-test-client-1000-867,200,429.82
1000,load-test-client-1000-813,200,430.33
1000,load-test-client-1000-795,200,437.44
1000,load-test-client-1000-825,200,437.44
1000,load-test-client-1000-114,200,462.80
1000,load-test-client-1000-617,200,439.47
1000,load-test-client-1000-793,200,439.47
1000,load-test-client-1000-371,200,439.98
1000,load-test-client-1000-608,200,439.47
1000,load-test-client-1000-618,200,439.47
1000,load-test-client-1000-800,200,442.01
1000,load-test-client-1000-694,200,444.00
1000,load-test-client-1000-616,200,446.15
1000,load-test-client-1000-620,200,442.01
1000,load-test-client-1000-757,200,442.01
1000,load-test-client-1000-756,200,442.01
1000,load-test-client-1000-760,200,444.04
1000,load-test-client-1000-698,200,446.33
1000,load-test-client-1000-734,200,446.33
1000,load-test-client-1000-835,200,446.22
1000,load-test-client-1000-798,200,446.85
1000,load-test-client-1000-842,200,447.26
1000,load-test-client-1000-697,200,450.99
1000,load-test-client-1000-839,200,449.70
1000,load-test-client-1000-139,200,452.92
1000,load-test-client-1000-751,200,452.92
1000,load-test-client-1000-766,200,452.92
1000,load-test-client-1000-481,200,453.89
1000,load-test-client-1000-845,200,453.89
1000,load-test-client-1000-840,200,457.07
1000,load-test-client-1000-701,200,456.10
1000,load-test-client-1000-837,200,458.09
1000,load-test-client-1000-456,200,468.34
1000,load-test-client-1000-375,200,469.37
1000,load-test-client-1000-483,200,469.90
1000,load-test-client-1000-454,200,470.53
1000,load-test-client-1000-299,200,471.56
1000,load-test-client-1000-499,200,470.53
1000,load-test-client-1000-451,200,470.53
1000,load-test-client-1000-771,200,471.56
1000,load-test-client-1000-744,200,471.56
1000,load-test-client-1000-450,200,471.61
1000,load-test-client-1000-747,200,474.57
1000,load-test-client-1000-496,200,475.29
1000,load-test-client-1000-802,200,475.29
1000,load-test-client-1000-380,200,475.09
1000,load-test-client-1000-233,200,476.45
1000,load-test-client-1000-379,200,475.42
1000,load-test-client-1000-415,200,482.20
1000,load-test-client-1000-741,200,480.63
1000,load-test-client-1000-763,200,481.30
1000,load-test-client-1000-301,200,479.29
1000,load-test-client-1000-844,200,481.94
1000,load-test-client-1000-247,200,497.77
1000,load-test-client-1000-13,200,530.40
1000,load-test-client-1000-37,200,530.85
1000,load-test-client-1000-464,200,497.59
1000,load-test-client-1000-530,200,498.41
1000,load-test-client-1000-460,200,498.12
1000,load-test-client-1000-594,200,498.12
1000,load-test-client-1000-284,200,505.16
1000,load-test-client-1000-536,200,506.02
1000,load-test-client-1000-302,200,505.51
1000,load-test-client-1000-242,200,506.43
1000,load-test-client-1000-830,200,507.22
1000,load-test-client-1000-462,200,506.43
1000,load-test-client-1000-282,200,506.55
1000,load-test-client-1000-542,200,508.27
1000,load-test-client-1000-768,200,509.00
1000,load-test-client-1000-243,200,509.52
1000,load-test-client-1000-467,200,509.52
1000,load-test-client-1000-485,200,509.52
1000,load-test-client-1000-634,200,509.00
1000,load-test-client-1000-546,200,509.00
1000,load-test-client-1000-461,200,509.93
1000,load-test-client-1000-276,200,507.71
1000,load-test-client-1000-50,200,542.50
1000,load-test-client-1000-540,200,510.27
1000,load-test-client-1000-463,200,510.68
1000,load-test-client-1000-543,200,511.27
1000,load-test-client-1000-303,200,512.36
1000,load-test-client-1000-278,200,513.82
1000,load-test-client-1000-500,200,513.82
1000,load-test-client-1000-502,200,515.46
1000,load-test-client-1000-537,200,519.46
1000,load-test-client-1000-632,200,519.99
1000,load-test-client-1000-627,200,521.19
1000,load-test-client-1000-548,200,517.48
1000,load-test-client-1000-603,200,517.48
1000,load-test-client-1000-283,200,517.99
1000,load-test-client-1000-289,200,517.99
1000,load-test-client-1000-287,200,528.80
1000,load-test-client-1000-636,200,526.75
1000,load-test-client-1000-57,200,567.84
1000,load-test-client-1000-387,200,531.60
1000,load-test-client-1000-59,200,574.67
1000,load-test-client-1000-215,200,538.94
1000,load-test-client-1000-392,200,538.02
1000,load-test-client-1000-291,200,538.94
1000,load-test-client-1000-503,200,537.51
1000,load-test-client-1000-637,200,540.59
1000,load-test-client-1000-639,200,538.58
1000,load-test-client-1000-635,200,538.58
1000,load-test-client-1000-383,200,543.17
1000,load-test-client-1000-547,200,543.17
1000,load-test-client-1000-385,200,541.12
1000,load-test-client-1000-745,200,543.17
1000,load-test-client-1000-277,200,541.12
1000,load-test-client-1000-390,200,540.20
1000,load-test-client-1000-652,200,539.54
1000,load-test-client-1000-506,200,540.17
1000,load-test-client-1000-507,200,540.96
1000,load-test-client-1000-650,200,541.99
1000,load-test-client-1000-239,200,541.99
1000,load-test-client-1000-638,200,541.99
1000,load-test-client-1000-187,200,543.59
1000,load-test-client-1000-508,200,543.01
1000,load-test-client-1000-292,200,547.11
1000,load-test-client-1000-641,200,557.47
1000,load-test-client-1000-659,200,556.97
1000,load-test-client-1000-304,200,556.97
1000,load-test-client-1000-672,200,554.20
1000,load-test-client-1000-773,200,556.45
1000,load-test-client-1000-654,200,556.97
1000,load-test-client-1000-899,200,533.03
1000,load-test-client-1000-981,200,457.04
1000,load-test-client-1000-673,200,557.49
1000,load-test-client-1000-678,200,559.19
1000,load-test-client-1000-220,200,557.58
1000,load-test-client-1000-606,200,559.17
1000,load-test-client-1000-640,200,565.86
1000,load-test-client-1000-296,200,554.46
1000,load-test-client-1000-653,200,565.86
1000,load-test-client-1000-348,200,564.76
1000,load-test-client-1000-402,200,556.03
1000,load-test-client-1000-592,200,584.47
1000,load-test-client-1000-770,200,565.86
1000,load-test-client-1000-511,200,566.86
1000,load-test-client-1000-512,200,578.02
1000,load-test-client-1000-668,200,572.39
1000,load-test-client-1000-403,200,571.39
1000,load-test-client-1000-600,200,583.44
1000,load-test-client-1000-352,200,577.34
1000,load-test-client-1000-676,200,578.93
1000,load-test-client-1000-670,200,581.36
1000,load-test-client-1000-309,200,578.93
1000,load-test-client-1000-238,200,585.25
1000,load-test-client-1000-509,200,584.67
1000,load-test-client-1000-513,200,579.50
1000,load-test-client-1000-510,200,586.71
1000,load-test-client-1000-657,200,592.26
1000,load-test-client-1000-820,200,583.38
1000,load-test-client-1000-797,200,609.40
1000,load-test-client-1000-742,200,605.79
1000,load-test-client-1000-881,200,612.63
1000,load-test-client-1000-417,200,615.62
1000,load-test-client-1000-736,200,609.06
1000,load-test-client-1000-781,200,613.18
1000,load-test-client-1000-884,200,609.06
1000,load-test-client-1000-419,200,616.17
1000,load-test-client-1000-782,200,615.80
1000,load-test-client-1000-735,200,622.74
1000,load-test-client-1000-719,200,626.02
1000,load-test-client-1000-755,200,622.74
1000,load-test-client-1000-573,200,623.02
1000,load-test-client-1000-581,200,621.90
1000,load-test-client-1000-576,200,623.09
1000,load-test-client-1000-889,200,623.09
1000,load-test-client-1000-578,200,622.48
1000,load-test-client-1000-12,200,685.13
1000,load-test-client-1000-891,200,628.72
1000,load-test-client-1000-575,200,642.75
1000,load-test-client-1000-740,200,644.22
1000,load-test-client-1000-799,200,645.77
1000,load-test-client-1000-818,200,642.75
1000,load-test-client-1000-890,200,642.96
1000,load-test-client-1000-1,200,707.17
1000,load-test-client-1000-574,200,654.28
1000,load-test-client-1000-577,200,654.31
1000,load-test-client-1000-591,200,653.05
1000,load-test-client-1000-901,200,643.68
1000,load-test-client-1000-662,200,673.70
1000,load-test-client-1000-561,200,650.64
1000,load-test-client-1000-8,200,717.57
1000,load-test-client-1000-261,200,672.42
1000,load-test-client-1000-900,200,648.99
1000,load-test-client-1000-564,200,652.79
1000,load-test-client-1000-924,200,652.73
1000,load-test-client-1000-915,200,651.70
1000,load-test-client-1000-562,200,652.73
1000,load-test-client-1000-903,200,662.05
1000,load-test-client-1000-916,200,660.00
1000,load-test-client-1000-905,200,660.59
1000,load-test-client-1000-474,200,718.86
1000,load-test-client-1000-921,200,675.14
1000,load-test-client-1000-14,200,751.38
1000,load-test-client-1000-926,200,682.89
1000,load-test-client-1000-877,200,705.96
1000,load-test-client-1000-906,200,697.38
